,zpid,price,priceLabel,beds,baths,area,latLong,statusType,statusText,isFavorite,isUserClaimingOwner,isUserConfirmedClaim,imgSrc,hasImage,visited,listingType,variableData,hdpData,detailUrl,pgapt,sgapt,has3DModel,hasVideo,isHomeRec,address,hasAdditionalAttributions,isFeaturedListing,availabilityDate,buildingId,lotId,minBeds,minBaths,minArea,plid,unitCount,isBuilding,badgeInfo,canSaveBuilding,communityName,style,isCdpResult,lotAreaString
0,27167308,"$375,000",$375K,3.0,2.0,1200.0,"{'latitude': 32.974274, 'longitude': -96.73827}",FOR_SALE,House for sale,False,False,False,https://photos.zillowstatic.com/fp/55840ccd6e14389484f8e48d1d62fc4f-p_e.jpg,True,False,,"{'type': 'TIME_ON_INFO', 'text': '11 hours ago', 'data': {'isFresh': False}}","{'homeInfo': {'zpid': 27167308, 'zipcode': '75080', 'city': 'Richardson', 'state': 'TX', 'latitude': 32.974274, 'longitude': -96.73827, 'price': 375000.0, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 1200.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 375002, 'rentZestimate': 2100, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 375000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 268420.0, 'lotAreaValue': 8886.24, 'lotAreaUnit': 'sqft'}}",/homedetails/613-Bedford-Dr-Richardson-TX-75080/27167308_zpid/,ForSale,For Sale by Agent,False,False,False,--,False,False,,,,,,,,,,,,,,,
1,27166968,"$379,000",$379K,3.0,2.0,1743.0,"{'latitude': 32.967976, 'longitude': -96.740295}",FOR_SALE,House for sale,False,False,False,https://photos.zillowstatic.com/fp/c7811087b882ef6cd3a5a6d9fa24be41-p_e.jpg,True,False,,,"{'homeInfo': {'zpid': 27166968, 'zipcode': '75080', 'city': 'Richardson', 'state': 'TX', 'latitude': 32.967976, 'longitude': -96.740295, 'price': 379000.0, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 1743.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 379000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 275340.0, 'lotAreaValue': 8015.04, 'lotAreaUnit': 'sqft'}}",/homedetails/1302-Provincetown-Ln-Richardson-TX-75080/27166968_zpid/,ForSale,For Sale by Agent,False,False,False,--,False,False,,,,,,,,,,,,,,,
2,27175999,"$508,000",$508K,4.0,3.0,2585.0,"{'latitude': 32.929153, 'longitude': -96.72315}",FOR_SALE,House for sale,False,False,False,https://photos.zillowstatic.com/fp/ca0e033b8ca219f572b3d2b9eaf7bc70-p_e.jpg,True,False,,"{'type': 'OPEN_HOUSE', 'text': 'Open: Sun. 1-3pm'}","{'homeInfo': {'zpid': 27175999, 'zipcode': '75081', 'city': 'Richardson', 'state': 'TX', 'latitude': 32.929153, 'longitude': -96.72315, 'price': 508000.0, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 2585.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 508001, 'rentZestimate': 3425, 'listing_sub_type': {'is_openHouse': True, 'is_FSBA': True}, 'openHouse': 'Sun. 1-3pm', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 508000.0, 'open_house_info': {'open_house_showing': [{'open_house_start': 1664136000000, 'open_house_end': 1664143200000}]}, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 421180.0, 'lotAreaValue': 0.0, 'lotAreaUnit': 'sqft'}}",/homedetails/606-Tiffany-Trl-Richardson-TX-75081/27175999_zpid/,ForSale,For Sale by Agent,False,False,False,--,False,False,,,,,,,,,,,,,,,
3,27174769,"$390,000",$390K,4.0,3.0,1869.0,"{'latitude': 32.95431, 'longitude': -96.71897}",FOR_SALE,House for sale,False,False,False,https://photos.zillowstatic.com/fp/263f740278f49f5a4868bf21b7246a97-p_e.jpg,True,False,,,"{'homeInfo': {'zpid': 27174769, 'zipcode': '75081', 'city': 'Richardson', 'state': 'TX', 'latitude': 32.95431, 'longitude': -96.71897, 'price': 390000.0, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 1869.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 403900, 'rentZestimate': 2400, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 390000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 320970.0, 'lotAreaValue': 8624.88, 'lotAreaUnit': 'sqft'}}",/homedetails/532-Apollo-Rd-Richardson-TX-75081/27174769_zpid/,ForSale,For Sale by Agent,False,False,False,--,False,False,,,,,,,,,,,,,,,
4,27173717,"$565,000",$565K,3.0,2.0,1847.0,"{'latitude': 32.95998, 'longitude': -96.74904}",FOR_SALE,House for sale,False,False,False,https://photos.zillowstatic.com/fp/8b528bd90e4485c50e1c9abefad2dd3e-p_e.jpg,True,False,,"{'type': 'OPEN_HOUSE', 'text': 'Open: Sun. 1-3pm'}","{'homeInfo': {'zpid': 27173717, 'zipcode': '75080', 'city': 'Richardson', 'state': 'TX', 'latitude': 32.95998, 'longitude': -96.74904, 'price': 565000.0, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 1847.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'listing_sub_type': {'is_openHouse': True, 'is_FSBA': True}, 'openHouse': 'Sun. 1-3pm', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 565000.0, 'open_house_info': {'open_house_showing': [{'open_house_start': 1664136000000, 'open_house_end': 1664143200000}]}, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 470850.0, 'lotAreaValue': 0.27, 'lotAreaUnit': 'acres'}}",/homedetails/808-Northlake-Dr-Richardson-TX-75080/27173717_zpid/,ForSale,For Sale by Agent,False,False,False,--,False,False,,,,,,,,,,,,,,,
5,26649455,"$499,000",$499K,4.0,3.0,2831.0,"{'latitude': 32.99505, 'longitude': -96.62013}",FOR_SALE,House for sale,False,False,False,https://photos.zillowstatic.com/fp/01dec11549bc332125b95ce4816a3bab-p_e.jpg,True,False,,"{'type': 'OPEN_HOUSE', 'text': 'Open: Sun. 10am-1pm'}","{'homeInfo': {'zpid': 26649455, 'zipcode': '75082', 'city': 'Richardson', 'state': 'TX', 'latitude': 32.99505, 'longitude': -96.62013, 'price': 499000.0, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 2831.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 493600, 'rentZestimate': 2967, 'listing_sub_type': {'is_openHouse': True, 'is_FSBA': True}, 'openHouse': 'Sun. 10am-1pm', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 499000.0, 'open_house_info': {'open_house_showing': [{'open_house_start': 1664125200000, 'open_house_end': 1664136000000}]}, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 347389.0, 'lotAreaValue': 9147.6, 'lotAreaUnit': 'sqft'}}",/homedetails/3211-Stonehenge-Dr-Richardson-TX-75082/26649455_zpid/,ForSale,For Sale by Agent,False,False,False,--,False,False,,,,,,,,,,,,,,,
6,2061466112,"$199,900",$200K,1.0,2.0,809.0,"{'latitude': 32.943264, 'longitude': -96.76297}",FOR_SALE,Condo for sale,False,False,False,https://photos.zillowstatic.com/fp/408d3f84a8a707911348e05f82550f39-p_e.jpg,True,False,,,"{'homeInfo': {'zpid': 2061466112, 'zipcode': '75080', 'city': 'Richardson', 'state': 'TX', 'latitude': 32.943264, 'longitude': -96.76297, 'price': 199900.0, 'bathrooms': 2.0, 'bedrooms': 1.0, 'livingArea': 809.0, 'homeType': 'CONDO', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 199900.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Apt D', 'lotAreaValue': 809.0, 'lotAreaUnit': 'sqft'}}",/homedetails/865-Dublin-Dr-APT-D-Richardson-TX-75080/2061466112_zpid/,ForSale,For Sale by Agent,False,False,False,--,False,False,,,,,,,,,,,,,,,
7,27159670,"$389,900",$390K,3.0,2.0,1998.0,"{'latitude': 32.968613, 'longitude': -96.69374}",FOR_SALE,House for sale,False,False,False,https://photos.zillowstatic.com/fp/2f9cd684f33b366256303cafc8f93b92-p_e.jpg,True,False,,,"{'homeInfo': {'zpid': 27159670, 'zipcode': '75081', 'city': 'Richardson', 'state': 'TX', 'latitude': 32.968613, 'longitude': -96.69374, 'price': 389900.0, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 1998.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 371000, 'rentZestimate': 2264, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 389900.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 348430.0, 'lotAreaValue': 9104.04, 'lotAreaUnit': 'sqft'}}",/homedetails/1615-Aurora-Dr-Richardson-TX-75081/27159670_zpid/,ForSale,For Sale by Agent,False,False,False,--,False,False,,,,,,,,,,,,,,,
8,27172127,"$325,000",$325K,4.0,2.0,1524.0,"{'latitude': 32.954502, 'longitude': -96.76528}",FOR_SALE,House for sale,False,False,False,https://photos.zillowstatic.com/fp/b1ef803f38e5f74c76e38ecfefa56319-p_e.jpg,True,False,,,"{'homeInfo': {'zpid': 27172127, 'zipcode': '75080', 'city': 'Richardson', 'state': 'TX', 'latitude': 32.954502, 'longitude': -96.76528, 'price': 325000.0, 'bathrooms': 2.0, 'bedrooms': 4.0, 'livingArea': 1524.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 325200, 'rentZestimate': 2169, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 325000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 213340.0, 'lotAreaValue': 8102.16, 'lotAreaUnit': 'sqft'}}",/homedetails/305-Brookwood-Dr-Richardson-TX-75080/27172127_zpid/,ForSale,For Sale by Agent,False,False,False,--,False,False,,,,,,,,,,,,,,,
9,27164194,"$450,000",$450K,4.0,3.0,2393.0,"{'latitude': 32.935257, 'longitude': -96.68578}",FOR_SALE,House for sale,False,False,False,https://photos.zillowstatic.com/fp/c19a3e26c9f94a820c80d6e3a60ca3d8-p_e.jpg,True,False,,"{'type': '3D_HOME', 'text': '3D Tour'}","{'homeInfo': {'zpid': 27164194, 'zipcode': '75081', 'city': 'Richardson', 'state': 'TX', 'latitude': 32.935257, 'longitude': -96.68578, 'price': 450000.0, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 2393.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 463400, 'rentZestimate': 2578, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 450000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 440280.0, 'lotAreaValue': 0.296, 'lotAreaUnit': 'acres'}}",/homedetails/1928-J-J-Pearce-Dr-Richardson-TX-75081/27164194_zpid/,ForSale,For Sale by Agent,True,False,False,--,False,False,,,,,,,,,,,,,,,
10,27173077,"$575,000",$575K,3.0,3.0,1946.0,"{'latitude': 32.963104, 'longitude': -96.76333}",FOR_SALE,House for sale,False,False,False,https://photos.zillowstatic.com/fp/bb1a09f2ef290edafe40e34071d9b7e9-p_e.jpg,True,False,,"{'type': 'OPEN_HOUSE', 'text': 'Open: Sun. 1-3pm'}","{'homeInfo': {'zpid': 27173077, 'zipcode': '75080', 'city': 'Richardson', 'state': 'TX', 'latitude': 32.963104, 'longitude': -96.76333, 'price': 575000.0, 'bathrooms': 3.0, 'bedrooms': 3.0, 'livingArea': 1946.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'listing_sub_type': {'is_openHouse': True, 'is_FSBA': True}, 'openHouse': 'Sun. 1-3pm', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 575000.0, 'open_house_info': {'open_house_showing': [{'open_house_start': 1664136000000, 'open_house_end': 1664143200000}]}, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 459310.0, 'lotAreaValue': 9016.92, 'lotAreaUnit': 'sqft'}}",/homedetails/1306-Cherokee-Dr-Richardson-TX-75080/27173077_zpid/,ForSale,For Sale by Agent,False,False,False,--,False,False,,,,,,,,,,,,,,,
11,27166020,"$486,500",$486K,4.0,3.0,2158.0,"{'latitude': 32.951527, 'longitude': -96.684395}",FOR_SALE,House for sale,False,False,False,https://photos.zillowstatic.com/fp/bc6a31b98efafcc8fdc11f6de1b34989-p_e.jpg,True,False,,,"{'homeInfo': {'zpid': 27166020, 'zipcode': '75081', 'city': 'Richardson', 'state': 'TX', 'latitude': 32.951527, 'longitude': -96.684395, 'price': 486500.0, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 2158.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 452100, 'rentZestimate': 2498, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 486500.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 404430.0, 'lotAreaValue': 9016.92, 'lotAreaUnit': 'sqft'}}",/homedetails/2105-Mistletoe-Dr-Richardson-TX-75081/27166020_zpid/,ForSale,For Sale by Agent,False,False,False,--,False,False,,,,,,,,,,,,,,,
12,27174926,"$349,900",$350K,6.0,4.0,2765.0,"{'latitude': 32.95405, 'longitude': -96.71625}",FOR_SALE,Multi-family home for sale,False,False,False,https://photos.zillowstatic.com/fp/2181957948160edbf1514e1a323e5127-p_e.jpg,True,False,,,"{'homeInfo': {'zpid': 27174926, 'zipcode': '75081', 'city': 'Richardson', 'state': 'TX', 'latitude': 32.95405, 'longitude': -96.71625, 'price': 349900.0, 'bathrooms': 4.0, 'bedrooms': 6.0, 'livingArea': 2765.0, 'homeType': 'MULTI_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 346012, 'rentZestimate': 2999, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 349900.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 335670.0, 'lotAreaValue': 8755.56, 'lotAreaUnit': 'sqft'}}",/homedetails/624-Royal-Crest-Dr-Richardson-TX-75081/27174926_zpid/,ForSale,For Sale by Agent,False,False,False,--,False,False,,,,,,,,,,,,,,,
13,26590005,"$650,000",$650K,4.0,3.0,2138.0,"{'latitude': 32.997025, 'longitude': -96.7178}",FOR_SALE,House for sale,False,False,False,https://photos.zillowstatic.com/fp/3f6e7a6d1e04defa4f604869f9f9543a-p_e.jpg,True,False,,"{'type': 'OPEN_HOUSE', 'text': 'Open: Sun. 12-2pm'}","{'homeInfo': {'zpid': 26590005, 'zipcode': '75080', 'city': 'Richardson', 'state': 'TX', 'latitude': 32.997025, 'longitude': -96.7178, 'price': 650000.0, 'datePriceChanged': 1663830000000, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 2138.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 646000, 'rentZestimate': 2922, 'listing_sub_type': {'is_openHouse': True, 'is_FSBA': True}, 'openHouse': 'Sun. 12-2pm', 'priceReduction': '$100,000 (Sep 22)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 650000.0, 'open_house_info': {'open_house_showing': [{'open_house_start': 1664132400000, 'open_house_end': 1664139600000}]}, 'priceChange': -100000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 333692.0, 'lotAreaValue': 9583.2, 'lotAreaUnit': 'sqft'}}",/homedetails/306-Forest-Grove-Dr-Richardson-TX-75080/26590005_zpid/,ForSale,For Sale by Agent,True,False,False,--,False,False,,,,,,,,,,,,,,,
14,26588983,"$635,000",$635K,4.0,3.0,2440.0,"{'latitude': 32.994076, 'longitude': -96.73405}",FOR_SALE,House for sale,False,False,False,https://photos.zillowstatic.com/fp/2ae015e6472a4e877210eac82d59e887-p_e.jpg,True,False,,,"{'homeInfo': {'zpid': 26588983, 'zipcode': '75080', 'city': 'Richardson', 'state': 'TX', 'latitude': 32.994076, 'longitude': -96.73405, 'price': 635000.0, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 2440.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 624000, 'rentZestimate': 3497, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 635000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 446171.0, 'lotAreaValue': 10018.8, 'lotAreaUnit': 'sqft'}}",/homedetails/2906-Tam-O-Shanter-Ln-Richardson-TX-75080/26588983_zpid/,ForSale,For Sale by Agent,False,False,False,--,False,False,,,,,,,,,,,,,,,
15,26589745,"$675,000",$675K,5.0,3.0,2262.0,"{'latitude': 32.99442, 'longitude': -96.71709}",FOR_SALE,House for sale,False,False,False,https://photos.zillowstatic.com/fp/7cdd5cea34b3f850727403a8f58019b1-p_e.jpg,True,False,,,"{'homeInfo': {'zpid': 26589745, 'zipcode': '75080', 'city': 'Richardson', 'state': 'TX', 'latitude': 32.99442, 'longitude': -96.71709, 'price': 675000.0, 'bathrooms': 3.0, 'bedrooms': 5.0, 'livingArea': 2262.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 670000, 'rentZestimate': 3234, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 675000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 348280.0, 'lotAreaValue': 0.26, 'lotAreaUnit': 'acres'}}",/homedetails/300-Canyon-Valley-Dr-Richardson-TX-75080/26589745_zpid/,ForSale,For Sale by Agent,False,False,False,--,False,False,,,,,,,,,,,,,,,
16,53441062,"$630,000",$630K,5.0,4.0,3473.0,"{'latitude': 32.932922, 'longitude': -96.71552}",FOR_SALE,House for sale,False,False,False,https://photos.zillowstatic.com/fp/e423f7525ef81b664fe5802dc946c158-p_e.jpg,True,False,,"{'type': 'OPEN_HOUSE', 'text': 'Open: Sun. 2-4pm'}","{'homeInfo': {'zpid': 53441062, 'zipcode': '75081', 'city': 'Richardson', 'state': 'TX', 'latitude': 32.932922, 'longitude': -96.71552, 'price': 630000.0, 'bathrooms': 4.0, 'bedrooms': 5.0, 'livingArea': 3473.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 624700, 'rentZestimate': 3939, 'listing_sub_type': {'is_openHouse': True, 'is_FSBA': True}, 'openHouse': 'Sun. 2-4pm', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 630000.0, 'open_house_info': {'open_house_showing': [{'open_house_start': 1664139600000, 'open_house_end': 1664146800000}]}, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 556000.0, 'lotAreaValue': 7579.44, 'lotAreaUnit': 'sqft'}}",/homedetails/619-Killarney-Richardson-TX-75081/53441062_zpid/,ForSale,For Sale by Agent,False,False,False,--,False,False,,,,,,,,,,,,,,,
17,27178552,"$425,000",$425K,4.0,3.0,1937.0,"{'latitude': 32.939304, 'longitude': -96.694374}",FOR_SALE,House for sale,False,False,False,https://photos.zillowstatic.com/fp/f6a354a99098fc1049624f858664419b-p_e.jpg,True,False,,,"{'homeInfo': {'zpid': 27178552, 'zipcode': '75081', 'city': 'Richardson', 'state': 'TX', 'latitude': 32.939304, 'longitude': -96.694374, 'price': 425000.0, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 1937.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 377400, 'rentZestimate': 2383, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 425000.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 333530.0, 'lotAreaValue': 8494.2, 'lotAreaUnit': 'sqft'}}",/homedetails/1604-Mayflower-Dr-Richardson-TX-75081/27178552_zpid/,ForSale,For Sale by Agent,False,False,False,--,False,False,,,,,,,,,,,,,,,
18,27159484,"$424,900",$425K,3.0,3.0,2232.0,"{'latitude': 32.96367, 'longitude': -96.6935}",FOR_SALE,House for sale,False,False,False,https://photos.zillowstatic.com/fp/7be0ae38161505a163fba6cf6681f1d1-p_e.jpg,True,False,,,"{'homeInfo': {'zpid': 27159484, 'zipcode': '75081', 'city': 'Richardson', 'state': 'TX', 'latitude': 32.96367, 'longitude': -96.6935, 'price': 424900.0, 'bathrooms': 3.0, 'bedrooms': 3.0, 'livingArea': 2232.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 424900, 'rentZestimate': 2795, 'listing_sub_type': {'is_FSBA': True}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 424900.0, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 367930.0, 'lotAreaValue': 9191.16, 'lotAreaUnit': 'sqft'}}",/homedetails/1608-Blake-Dr-Richardson-TX-75081/27159484_zpid/,ForSale,For Sale by Agent,False,False,False,--,False,False,,,,,,,,,,,,,,,
19,53114322,"$589,000",$589K,4.0,3.0,3257.0,"{'latitude': 32.98671, 'longitude': -96.63829}",FOR_SALE,House for sale,False,False,False,https://photos.zillowstatic.com/fp/076f28d89d92c841c0183703cf39fd14-p_e.jpg,True,False,,"{'type': 'OPEN_HOUSE', 'text': 'Open: Sun. 2-4pm'}","{'homeInfo': {'zpid': 53114322, 'zipcode': '75082', 'city': 'Richardson', 'state': 'TX', 'latitude': 32.98671, 'longitude': -96.63829, 'price': 589000.0, 'bathrooms': 3.0, 'bedrooms': 4.0, 'livingArea': 3257.0, 'homeType': 'SINGLE_FAMILY', 'homeStatus': 'FOR_SALE', 'daysOnZillow': -1, 'isFeatured': False, 'shouldHighlight': False, 'zestimate': 586800, 'rentZestimate': 3482, 'listing_sub_type': {'is_openHouse': True, 'is_FSBA': True}, 'openHouse': 'Sun. 2-4pm', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_SALE', 'priceForHDP': 589000.0, 'open_house_info': {'open_house_showing': [{'open_house_start': 1664139600000, 'open_house_end': 1664146800000}]}, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'taxAssessedValue': 403226.0, 'lotAreaValue': 9147.6, 'lotAreaUnit': 'sqft'}}",/homedetails/4508-Copper-Mountain-Ln-Richardson-TX-75082/53114322_zpid/,ForSale,For Sale by Agent,False,False,False,--,False,False,,,,,,,,,,,,,,,
